First Name,Last Name,Position,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
Jayson,Tatum,SF,20,20,40.0,27.2,1.3,9.2,10.5,5.3,1.1,1.1,2.8,2.2,1.9
Jaylen,Brown,SG,20,20,37.6,22.7,1.3,4.4,5.6,3.4,1.1,0.4,3.3,3.1,1.0
Marcus,Smart,PG,20,20,34.0,14.9,1.1,3.0,4.0,5.1,1.3,0.3,2.3,1.9,2.2
Derrick,White,PG,20,16,29.7,13.4,0.7,2.3,3.0,2.1,0.6,1.0,0.9,1.9,2.3
Malcolm,Brogdon,PG,19,0,24.9,11.9,0.7,2.8,3.5,2.9,0.2,0.3,1.0,1.5,2.9
Robert,Williams III,C,20,4,20.9,7.7,1.8,4.2,6.0,1.0,0.5,1.3,0.8,2.2,1.2
Al,Horford,C,20,20,30.9,6.7,1.5,5.7,7.2,3.0,1.1,1.7,0.6,2.4,5.4
Grant,Williams,PF,15,0,17.7,5.1,0.7,1.5,2.2,1.2,0.3,0.4,0.3,1.7,4.5
Payton,Pritchard,PG,10,0,5.7,3.2,0.0,0.6,0.6,1.1,0.1,0.0,0.5,0.3,2.2
Luke,Kornet,C,8,0,4.0,2.1,0.6,0.6,1.3,0.0,0.0,0.1,0.0,0.3,0.0
Sam,Hauser,SF,15,0,6.9,2.0,0.3,0.8,1.1,0.3,0.1,0.1,0.0,0.5,INF
Mike,Muscala,C,6,0,3.5,1.5,0.5,0.2,0.7,0.2,0.0,0.0,0.2,0.2,1.0
Justin,Champagnie,SF,4,0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Blake,Griffin,PF,1,0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Mikal,Bridges,SF,4,4,39.3,23.5,0.5,4.8,5.3,4.0,0.5,0.5,2.0,1.3,2.0
Cameron,Johnson,SF,4,4,38.0,18.5,0.8,5.0,5.8,2.8,0.8,0.3,1.3,2.5,2.2
Spencer,Dinwiddie,PG,4,4,39.8,16.5,0.3,3.0,3.3,6.5,1.3,0.3,3.0,1.8,2.2
Nic,Claxton,C,4,4,29.3,10.5,1.3,6.8,8.0,1.5,0.3,1.8,0.8,2.0,2.0
Seth,Curry,SG,3,0,19.3,8.3,0.0,1.0,1.0,2.0,0.0,0.0,0.3,0.7,6.0
Dorian,Finney-Smith,PF,4,4,25.3,6.3,1.5,3.0,4.5,0.8,0.8,0.5,1.3,1.8,0.6
Royce,O'Neale,PF,4,0,29.5,5.0,1.0,3.3,4.3,3.5,1.3,0.3,1.0,2.8,3.5
Yuta,Watanabe,SF,1,0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Cam,Thomas,SG,2,0,8.0,3.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0
Day'Ron,Sharpe,C,2,0,10.0,3.0,1.0,2.0,3.0,2.5,0.0,0.5,1.0,1.5,2.5
David,Duke Jr.,G,1,0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Joe,Harris,SF,4,0,11.0,1.8,0.0,1.3,1.3,0.0,0.5,0.0,0.8,1.3,0.0
Patty,Mills,PG,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Edmond,Sumner,PG,1,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INF
Jalen,Brunson,PG,11,11,40.3,27.8,0.8,4.1,4.9,5.6,1.5,0.1,2.1,2.4,2.7
